Exercise Minutes,Coffees,Av HR,Eat after 9pm,Steps,Age,Hours awake,Day,Sleep Rating
37,3,50,0,6971,32,10,1,3
77,2,44,1,6832,32,12,3,4
80,1,50,1,6078,60,15,6,4
57,1,43,0,4364,45,13,5,4
25,0,68,1,5941,46,17,6,1
63,3,65,1,7268,29,14,3,3
47,0,41,1,6462,41,13,7,4
57,2,42,0,7173,31,14,2,4
18,1,53,1,9691,81,17,7,2
57,3,56,0,10873,36,17,5,4
15,0,52,1,3226,82,13,1,1
52,3,43,1,10330,47,12,6,4
5,1,61,1,7552,45,14,6,1
41,2,64,0,11958,41,12,4,3
55,0,58,0,7847,42,21,6,4
34,0,56,1,3855,38,15,1,3
5,0,40,1,10026,84,13,5,2
10,1,50,0,6375,74,16,3,1
51,2,50,1,3850,85,12,4,2
11,0,51,1,500,64,16,6,1
50,0,40,0,5344,74,15,2,4
69,0,52,1,5393,30,21,1,4
24,3,57,1,5159,31,16,5,1
49,3,43,1,6446,67,17,1,3
5,3,53,0,5894,28,12,3,1
61,0,49,1,500,63,12,2,3
35,3,51,1,916,46,13,4,1
35,3,47,1,2386,26,17,2,3
35,1,52,1,3831,59,11,1,2
31,3,44,1,8956,77,10,7,2
27,0,41,0,6613,73,14,2,3
58,2,51,0,500,31,17,2,3
62,1,63,0,6722,49,23,1,3
41,0,54,0,5792,16,20,5,4
87,2,45,0,5337,69,14,1,4
31,2,55,0,9907,25,12,4,3
31,2,41,0,8700,23,16,2,4
58,3,41,0,2473,79,17,2,3
31,2,54,1,5079,48,16,6,2
5,0,66,1,4464,45,13,2,1
73,1,56,1,5314,62,16,3,3
40,3,46,1,7745,67,19,4,3
38,3,57,1,3412,44,14,6,1
87,1,52,0,7600,81,18,3,4
43,3,62,0,3097,71,15,2,1
15,2,61,1,8777,42,13,6,1
74,2,69,0,3900,63,9,6,2
13,1,47,1,7151,77,16,5,2
53,3,47,1,5621,80,13,6,2
70,1,48,1,5006,62,15,4,4
39,1,67,1,7748,25,16,3,2
63,2,66,0,11203,37,16,7,3
20,2,40,1,3786,40,17,5,3
60,3,60,1,500,49,14,2,2
18,0,48,1,10294,61,16,7,3
11,3,64,1,6484,53,12,4,1
73,3,48,1,8281,19,16,6,4
69,3,54,1,5875,25,14,1,4
88,0,63,1,5971,16,16,3,4
45,1,57,0,5168,32,16,1,3
27,0,58,1,2279,36,13,2,2
56,0,65,1,7866,34,14,5,3
66,1,65,1,8669,35,17,6,3
47,1,66,1,1341,29,15,6,2
55,2,53,0,6149,70,19,1,3
45,2,62,0,5496,57,13,7,2
5,1,49,1,5365,39,15,2,2
57,2,53,1,2873,19,15,2,3
62,2,68,1,5370,21,20,4,3
39,1,67,1,3500,50,18,4,1
40,2,42,0,5939,37,16,4,3
49,0,62,0,8057,41,16,1,3
5,0,69,0,2355,27,13,3,1
44,0,68,0,4236,67,14,3,1
52,0,47,1,9868,64,11,3,4
69,2,50,1,11583,64,12,5,4
49,1,48,0,4671,25,13,7,4
5,1,63,1,568,44,17,1,1
18,2,40,0,8703,53,15,4,3
35,2,67,1,10029,24,13,2,3
24,0,56,0,5352,56,14,7,2
5,3,46,1,6710,30,17,4,2
34,0,44,1,7804,52,18,5,4
51,1,44,0,6332,44,17,4,4
5,2,67,1,5797,79,15,7,1
23,3,55,1,7207,47,18,1,2
16,1,57,0,3751,32,12,6,1
15,0,69,1,4469,52,13,2,1
42,1,52,0,3142,60,17,5,2
92,1,56,1,7264,61,13,2,4
18,2,59,1,2318,39,12,3,1
41,3,69,1,2854,22,19,2,1
7,2,69,1,3652,74,18,7,1
5,2,57,1,6701,81,12,7,1
14,3,41,1,3464,78,16,6,1
120,0,47,0,2684,70,16,5,4
36,3,66,1,7095,18,16,3,2
57,1,55,1,8831,56,12,2,4
53,1,41,1,7703,57,15,6,4
61,1,43,0,10814,39,11,7,4
5,0,55,1,7451,27,17,4,2
31,1,51,1,10065,84,14,1,3
35,1,63,1,500,54,20,5,1
5,0,61,0,5085,40,13,3,1
7,2,47,1,2624,40,17,1,2
62,0,64,0,6981,42,15,5,3
10,1,57,0,8321,19,11,3,2
71,1,56,1,549,81,9,7,2
93,3,44,1,7129,26,15,1,4
8,1,41,1,6665,82,21,5,2
5,2,40,0,500,80,19,7,1
87,3,48,1,3984,68,14,5,4
47,1,63,1,11845,62,11,6,3
63,3,52,0,5300,22,14,2,4
34,0,55,1,5528,47,15,4,3
10,3,63,0,4657,27,16,6,1
42,3,68,0,4942,64,17,2,1
31,0,69,1,2984,50,19,1,1
5,3,48,0,5736,27,19,2,2
5,3,43,0,7947,73,13,7,1
76,3,46,1,4621,77,15,7,3
60,0,60,1,2337,74,18,5,2
44,0,51,0,5926,16,20,1,4
8,2,48,0,1296,72,24,4,1
66,3,53,1,2764,71,15,1,2
76,1,40,1,9711,20,22,2,4
35,3,60,1,3933,83,17,1,1
64,2,69,0,7981,56,19,7,2
85,1,65,1,4500,65,13,4,3
69,0,46,1,5341,85,14,2,4
27,0,46,1,3070,77,14,4,2
30,3,41,1,10344,77,14,1,3
105,0,54,1,6297,60,17,5,4
53,1,44,1,7014,66,19,4,4
84,0,44,1,8172,79,12,7,4
5,0,68,1,4001,60,10,5,1
56,3,46,1,845,59,17,7,2
25,2,65,1,4509,44,10,6,1
31,1,43,1,10829,47,16,6,4
29,2,69,1,5265,16,16,2,2
18,0,41,1,5693,23,15,5,3
41,1,56,1,4029,81,11,5,1
52,0,48,0,5766,16,11,7,4
5,2,47,1,500,42,12,4,1
66,2,68,1,5853,42,13,5,2
106,0,64,0,6608,55,17,3,4
28,3,53,1,9884,62,15,6,2
58,0,50,1,6048,46,17,7,4
8,0,61,1,3062,65,10,6,1
49,2,43,0,8942,47,22,5,4
35,3,52,1,10174,23,11,7,3
5,0,59,1,9797,58,11,3,1
87,0,46,0,6289,81,20,4,4
13,0,61,1,8965,70,15,5,1
48,3,44,1,6343,33,11,3,3
47,2,61,1,7558,83,10,5,2
73,2,54,0,4295,38,17,6,4
49,2,51,1,8052,25,13,7,4
84,2,65,1,10848,25,9,4,4
23,1,44,1,13627,54,13,4,4
59,1,53,1,7874,35,15,4,4
75,0,51,1,2202,35,17,1,4
40,2,58,1,2311,82,18,6,1
25,2,52,1,5538,36,20,1,2
52,3,56,0,10345,58,12,5,3
66,3,46,1,9293,75,14,2,4
68,1,52,1,4068,46,13,6,4
39,3,41,1,5705,83,14,2,3
28,0,43,1,4077,54,14,2,3
26,0,64,0,4782,54,17,2,2
27,3,48,1,4297,78,15,2,1
43,0,46,0,4833,23,15,2,4
27,2,69,1,2309,85,19,2,1
75,1,52,0,4380,24,14,4,4
24,2,46,1,6143,68,17,6,2
38,3,59,1,6749,79,15,6,1
43,1,51,1,8735,70,12,5,3
42,3,65,1,6250,38,14,5,2
125,0,63,0,7477,63,16,7,4
69,0,47,1,9730,39,14,5,4
36,3,63,1,7903,75,17,5,1
66,3,65,1,5846,72,10,3,2
38,1,64,0,10273,33,11,7,3
42,2,45,1,3680,28,9,7,3
40,3,51,1,1599,73,16,3,1
44,1,46,1,4289,77,14,4,3
59,3,66,1,10239,16,15,5,3
92,2,69,0,5558,23,8,3,4
35,3,47,1,1932,54,17,2,2
19,0,68,0,7272,46,13,3,1
5,3,49,1,7980,51,13,2,2
5,2,53,1,2490,28,10,2,1
19,0,68,1,1496,78,15,3,1
51,1,46,1,7795,48,19,1,4
5,0,55,0,11459,76,15,3,2
14,1,50,1,7734,63,20,5,2
25,1,47,1,9046,36,18,1,4
30,1,59,1,4560,51,17,6,2
39,0,40,1,8027,45,12,1,4
22,2,42,1,7563,42,15,1,3
35,2,60,0,7124,72,14,5,1
50,1,43,1,4411,80,18,7,3
34,0,42,1,10347,82,16,4,4
83,2,60,1,7178,25,15,3,4
38,1,43,1,7413,51,21,3,4
72,2,48,1,6700,62,17,6,4
33,1,40,1,1975,82,19,2,2
38,1,56,1,7719,68,8,2,2
50,3,61,1,3154,36,14,2,2
5,0,43,1,6524,81,12,7,2
47,1,61,1,12929,64,17,7,3
12,2,45,0,5379,84,14,1,1
73,1,51,1,4652,36,20,4,4
38,1,52,0,3609,81,13,1,2
26,0,46,0,9640,35,17,1,4
50,0,66,1,9912,54,4,5,3
37,3,50,1,3666,28,18,2,3
21,3,40,1,12771,17,15,1,4
5,2,49,1,5442,72,17,6,1
5,1,48,0,3670,54,13,7,1
37,2,64,1,5583,39,10,6,1
43,3,68,0,8490,44,18,6,2
28,3,61,1,2100,63,11,4,1
77,3,67,1,7255,44,16,4,3
68,2,61,0,2778,71,6,2,2
65,1,61,1,5846,44,13,7,3
31,2,42,1,6279,45,13,1,3
59,1,63,1,3388,26,13,4,3
5,2,57,1,6950,27,19,6,1
69,3,60,0,10747,71,13,4,3
11,1,69,1,7474,78,16,4,1
5,0,42,0,2665,48,19,6,2
60,1,64,0,10772,72,16,5,3
35,1,48,1,10601,44,14,4,4
13,1,46,1,3026,35,11,7,2
17,1,42,1,7997,70,11,1,3
43,1,57,0,9679,83,15,4,2
46,1,42,0,6028,61,17,5,4
40,3,44,1,9426,27,17,2,4
78,3,54,0,5799,29,14,7,4
43,0,69,1,8598,51,13,4,2
22,0,55,1,3331,80,19,1,1
25,2,54,1,7747,60,16,6,2
5,1,60,1,7051,81,14,1,1
40,2,46,1,2513,21,21,3,3
52,1,42,1,10545,42,12,2,4
14,1,57,0,5306,68,15,2,1
10,3,54,0,7579,71,16,7,1
25,2,53,0,6750,72,15,1,2
6,0,41,1,5083,74,15,4,2
59,3,48,1,3427,29,10,5,3
33,2,52,1,10969,32,14,7,3
19,0,48,1,7875,18,17,7,3
23,0,63,1,6074,65,15,3,1
13,1,50,1,6702,77,10,5,1
50,0,68,1,11641,62,12,6,3
47,1,47,1,4599,45,15,6,3
53,0,54,1,8370,25,21,7,4
19,0,54,1,10310,78,11,5,2
5,2,43,0,5134,41,17,5,2
39,2,58,1,7311,79,16,5,2
25,1,50,0,5091,59,13,4,2
10,3,46,1,6734,45,11,4,2
61,3,42,0,5144,73,15,7,3
5,0,54,1,2450,23,16,7,1
16,3,69,1,4721,70,15,7,1
48,2,41,0,2390,20,13,3,4
39,0,64,1,3771,77,10,7,1
10,3,45,1,896,73,16,7,1
85,3,47,1,7824,19,12,2,4
55,3,54,1,682,52,15,2,2
71,3,44,1,500,51,13,3,3
48,1,65,0,4135,18,13,7,2
41,3,52,1,3913,46,15,1,2
49,1,50,1,8547,58,13,3,3
5,1,45,0,5897,54,13,1,2
50,0,62,0,9367,44,15,6,3
17,2,65,1,6009,19,16,3,1
20,0,56,1,8786,46,17,5,2
7,0,57,1,8020,33,9,7,2
19,0,48,0,9445,76,13,4,2
10,1,69,1,8807,77,17,7,1
62,3,43,0,5901,30,18,2,4
56,0,41,0,6710,33,17,6,4
34,3,41,1,2680,45,14,2,3
20,2,47,1,5095,66,16,4,2
10,3,64,1,8892,22,10,2,1
50,3,41,1,6848,76,21,4,3
21,3,52,1,9017,75,11,2,2
25,1,45,1,8148,21,14,6,4
19,2,41,1,8696,82,17,7,2
44,3,56,1,500,39,17,4,1
54,0,53,1,3998,19,15,1,4
61,0,61,1,8128,17,15,6,4
41,3,40,1,2542,77,16,7,2
68,3,57,1,10210,37,14,6,4
49,1,55,0,8247,61,17,1,3
53,3,50,1,7008,61,11,4,3
30,2,52,1,9156,58,14,4,2
15,3,60,1,6654,80,8,2,1
51,3,58,0,10035,22,16,3,3
24,3,61,0,6074,23,10,4,1
18,1,59,0,7614,51,11,6,1
33,2,52,1,9202,36,10,4,3
57,1,59,0,8109,34,12,3,3
32,1,48,0,3490,80,11,6,2
52,2,50,1,3083,17,17,7,3
53,3,67,1,11245,32,11,2,3
26,2,53,1,4528,54,15,1,2
78,3,47,1,11307,77,16,1,4
18,0,52,0,4245,58,18,5,2
95,2,62,1,5674,68,9,2,4
49,0,42,1,7483,75,15,1,4
59,0,40,1,5050,40,20,6,4
5,2,56,1,9906,78,15,6,1
59,1,48,0,1045,51,13,1,3
38,2,46,0,5151,18,14,2,4
12,3,51,1,3702,21,15,5,1
24,2,66,0,6394,75,14,4,1
52,3,65,0,1641,77,18,4,1
118,0,56,1,6120,56,18,6,4
5,0,47,1,3818,43,16,3,2
24,1,47,0,1283,77,13,3,1
28,2,68,1,9967,47,16,7,1
5,2,52,1,7525,44,14,1,2
26,0,45,1,7682,66,15,6,3
32,3,55,0,5201,60,18,6,1
42,1,69,0,4479,35,12,3,2
22,2,53,1,8076,82,15,3,1
70,3,52,0,6640,23,11,7,4
57,3,60,1,2558,53,12,1,2
51,2,47,1,5314,41,9,4,3
5,3,44,0,6461,84,14,7,1
5,3,42,1,500,41,13,7,1
5,0,57,1,12848,85,9,5,1
34,3,57,1,6062,48,14,2,2
95,2,62,0,7731,28,15,5,4
5,0,46,1,2957,54,10,3,1
14,0,48,1,9956,24,12,2,4
91,2,52,1,2997,82,12,3,3
65,3,63,0,2862,66,13,5,1
26,2,57,0,2555,75,15,4,1
13,3,63,1,5070,24,22,1,1
39,3,66,1,7307,51,13,2,1
34,1,42,0,1565,42,16,5,3
5,3,67,1,8143,71,17,2,1
57,3,63,1,7100,72,19,5,2
48,2,55,1,5451,28,11,1,3
21,0,43,1,8675,63,15,2,3
5,3,42,1,9528,34,14,6,3
23,2,51,1,2122,18,14,3,2
47,0,41,0,8809,81,14,6,4
97,0,55,1,6447,52,13,4,4
16,0,52,1,4279,55,14,4,2
56,2,54,0,5052,68,8,1,3
32,1,47,1,4778,78,14,2,2
112,3,56,1,6397,33,13,7,4
94,3,56,0,6223,49,18,5,4
51,0,69,1,9312,69,16,2,3
27,2,40,1,11039,28,12,6,4
57,1,57,1,6477,38,14,6,3
40,3,48,1,5754,42,16,5,3
60,3,40,1,6406,82,16,7,3
67,3,51,1,1103,62,19,7,2
18,2,65,1,6756,53,12,6,1
56,1,65,1,2877,18,9,3,2
5,0,49,1,4470,43,15,5,2
37,0,60,1,7763,75,13,2,2
48,1,55,1,4415,67,10,2,2
55,3,50,1,6700,78,14,7,2
21,2,60,1,14228,67,15,5,2
18,2,53,1,6297,48,10,7,2
17,3,49,1,9882,16,17,3,3
63,2,46,0,3993,69,20,5,3
71,2,57,0,4134,57,12,2,3
79,1,65,0,9427,59,8,5,3
85,3,48,1,11072,81,14,5,4
9,1,43,1,3500,66,14,1,2
21,2,50,1,6072,61,12,7,2
5,0,45,1,5666,62,11,4,2
33,3,68,1,4090,53,18,6,1
46,2,50,1,8555,41,14,2,4
55,1,67,1,3897,58,17,5,2
59,2,46,1,13586,66,16,7,4
27,2,45,0,3280,65,13,7,2
14,0,66,1,11193,21,18,3,2
68,1,62,0,6398,60,13,5,3
68,0,59,0,7312,82,14,2,3
57,2,60,1,8845,22,15,3,3
5,1,56,1,500,66,15,3,1
23,0,56,1,6695,79,14,3,1
5,0,57,1,5058,64,17,7,1
41,1,50,0,6742,32,14,6,3
47,3,66,1,7989,43,17,4,2
40,0,60,1,4714,81,16,5,2
5,0,69,0,1848,78,22,1,1
77,2,53,0,4098,68,10,2,3
23,1,53,1,5752,70,13,5,1
32,0,40,0,4764,59,14,4,3
9,0,40,0,6115,84,16,1,2
48,0,53,1,10718,80,14,5,3
58,3,57,1,4130,51,13,1,2
5,2,48,0,4255,75,16,1,1
80,0,50,0,4453,18,12,4,4
53,2,59,1,1987,64,10,4,1
35,1,48,0,6180,19,16,1,4
42,3,57,1,3457,27,17,4,2
52,2,45,1,1150,29,10,7,3
39,2,51,0,7168,39,15,3,3
40,0,58,1,9462,72,12,5,3
5,3,62,1,7814,44,15,1,1
67,2,55,1,6643,71,16,7,3
92,1,42,1,1567,73,19,1,4
42,2,44,1,7287,37,17,1,4
5,2,48,1,4427,60,20,2,1
10,0,41,1,6565,29,15,4,3
48,0,55,0,8452,57,20,5,3
71,1,52,1,7068,76,17,6,4
19,0,62,1,2647,52,15,5,1
60,0,54,0,3648,57,17,7,3
60,3,40,1,4978,46,16,2,4
42,3,41,1,7388,55,12,1,3
36,2,47,1,500,80,19,3,1
77,3,56,1,3082,33,9,6,3
34,1,48,1,500,16,15,6,3
40,1,47,1,4008,43,17,3,3
45,3,64,1,5145,82,17,1,1
31,3,58,0,6390,29,18,1,2
73,3,48,0,8945,57,12,6,4
90,1,45,0,7058,27,17,4,4
35,3,60,1,8546,55,15,1,2
5,3,65,0,6767,62,14,6,1
9,3,55,0,4765,58,16,1,1
56,1,60,1,6788,81,14,3,2
54,3,51,0,4584,37,14,1,3
54,1,56,1,7018,69,17,4,3
26,2,67,1,6004,50,19,4,1
65,1,54,1,7362,31,16,7,4
97,2,60,1,5109,57,14,7,4
20,3,49,1,5950,41,16,7,2
32,1,63,1,7029,44,10,7,2
28,1,44,0,5897,50,14,2,3
32,1,56,0,8349,50,11,2,3
51,0,48,1,3118,35,20,6,4
54,1,67,1,7135,59,16,7,2
19,0,58,1,6165,19,17,7,2
91,1,42,1,7227,31,18,1,4
5,0,49,1,3661,79,21,3,1
61,3,68,0,4649,35,16,6,2
83,3,53,0,5661,34,16,6,4
16,3,44,1,9508,77,12,4,2
56,2,67,1,10838,53,16,1,3
28,2,64,0,6648,44,13,6,1
98,2,48,1,10490,50,15,7,4
86,3,55,1,5539,69,11,7,3
46,1,43,1,12164,80,16,5,4
30,1,60,0,6378,81,11,1,1
73,3,61,1,12283,59,16,6,4
30,1,64,1,5387,73,22,4,1
46,0,53,0,4131,48,14,2,3
35,0,55,1,10712,84,15,5,3
28,3,50,0,6439,36,12,6,2
6,0,68,1,3741,45,11,1,1
86,2,49,1,6323,75,12,5,4
17,1,55,0,3123,58,15,1,1
73,1,60,1,7853,28,16,6,4
23,0,63,1,9654,40,15,1,3
28,3,40,1,4196,18,15,3,3
15,3,44,0,8515,57,14,3,2
44,0,53,1,10122,30,15,6,4
48,3,61,0,5978,77,15,1,2
42,2,44,0,500,82,14,2,2
61,1,52,1,3125,23,15,2,4
12,1,55,1,4402,17,17,1,2
31,1,52,1,4378,68,17,5,2
65,3,49,0,8716,25,15,3,4
11,2,52,0,8298,62,15,3,1
18,3,57,1,6645,31,12,6,1
5,2,47,0,8058,38,17,1,2
24,0,57,1,5571,49,19,6,2
66,3,48,1,5744,69,18,3,3
51,2,64,1,10368,32,19,5,3
59,3,52,0,6407,76,6,2,3
18,1,58,1,4182,30,18,4,2
28,1,52,0,8784,66,16,6,2
5,3,53,0,3337,38,12,7,1
7,2,53,1,13261,72,15,7,2
68,3,50,1,5262,33,14,1,4
33,1,43,1,11749,82,11,1,4
5,1,42,1,3333,32,16,4,2
67,2,49,1,8283,23,16,5,4
26,0,64,1,4281,32,20,6,2
5,3,44,1,2888,17,17,2,2
9,2,40,1,5708,64,16,1,2
5,2,46,0,8656,27,15,6,3
101,3,51,1,11398,50,12,6,4
26,2,51,1,7799,72,17,3,2
34,0,41,1,8482,71,11,5,3
43,1,58,1,8511,74,12,4,2
37,3,56,1,6949,25,15,7,2
5,0,69,1,7487,78,14,2,1
56,0,45,1,6902,49,17,3,4
18,0,54,1,5909,71,13,3,1
37,2,63,1,2302,68,12,3,1
87,2,61,1,2650,41,18,7,3
39,2,49,1,5791,56,18,7,3
5,2,68,1,2233,44,15,5,1
5,0,53,1,5122,75,13,1,1
19,3,41,1,8823,37,18,6,3
5,0,50,1,6422,50,17,3,2
14,0,60,1,6963,55,14,5,1
27,3,46,1,500,71,15,4,1
14,0,57,1,6694,39,13,5,2
20,0,68,1,2701,33,12,3,1
5,1,55,1,6322,49,14,7,1
84,3,65,1,6875,72,14,7,3
61,0,64,1,5712,33,15,6,3
7,3,58,0,8036,69,17,7,1
53,1,66,1,6511,50,12,5,2
17,2,55,1,4638,16,8,4,2
51,0,56,0,5452,68,20,6,3
68,2,64,1,11400,60,13,7,3
64,2,43,0,6251,31,10,4,4
99,1,50,0,12358,45,18,6,4
18,0,63,1,500,40,10,1,1
41,0,54,1,6408,64,14,5,3
60,3,55,1,6689,28,12,5,3
52,1,52,0,8293,82,13,2,3
42,2,56,1,5960,31,12,2,3
82,3,60,1,10661,68,14,3,4
33,3,66,0,6701,75,12,1,1
18,3,61,1,6198,83,19,3,1
24,0,68,1,4219,34,16,1,1
67,0,47,1,3687,53,14,6,4
58,0,67,1,5934,44,9,3,3
53,2,47,1,4206,73,13,2,3
92,3,52,1,5309,50,14,1,4
94,2,57,1,4107,38,18,1,4
19,0,43,1,3347,17,14,7,3
55,1,49,0,8656,67,18,4,4
28,0,47,1,7718,59,16,1,3
67,3,65,0,8069,55,18,2,3
37,3,40,1,8199,73,14,1,3
30,1,65,0,6884,25,18,7,2
37,3,45,1,6753,56,16,4,3
34,1,59,1,6842,54,16,2,2
60,0,47,1,7677,46,14,4,4
5,3,62,0,5588,82,18,7,1
53,2,40,1,8798,29,14,7,4
72,1,65,1,4383,32,9,3,3
5,0,45,1,7151,69,15,3,2
5,1,45,1,4009,20,18,5,2
30,0,55,1,2779,83,16,5,1
24,1,63,0,6925,69,12,6,1
56,1,65,1,5142,83,17,6,2
72,3,43,1,9557,71,17,7,4
44,0,58,1,500,71,12,1,2
38,1,56,1,3597,21,12,7,3
43,1,55,1,7773,46,8,2,3
5,3,58,0,3900,84,7,5,1
21,1,68,1,2913,38,11,2,1
43,0,42,0,2612,24,18,1,4
49,1,61,1,1784,61,17,6,2
61,2,45,1,9009,42,15,6,4
71,1,52,1,5206,43,14,6,4
9,1,53,1,3953,38,19,7,1
64,0,60,1,5297,24,16,1,4
24,1,52,0,9717,75,20,2,3
55,1,56,1,9973,53,21,1,4
110,3,53,0,4787,60,16,2,4
88,3,54,0,500,20,20,1,4
48,2,43,1,3799,47,13,6,3
68,0,42,0,4675,29,13,1,4
42,1,40,1,6959,18,13,7,4
59,3,46,1,3266,52,16,1,3
5,3,40,0,7220,51,9,4,2
70,1,54,1,5537,81,12,7,3
95,3,40,1,10071,34,18,5,4
20,2,63,0,10034,21,14,2,2
44,2,42,1,5628,25,13,5,4
61,2,66,1,2979,74,11,7,1
9,2,44,1,500,79,13,6,1
30,0,58,1,1870,55,13,1,2
58,2,52,1,5586,47,13,5,3
35,3,60,1,6880,61,12,7,1
62,3,57,1,4750,26,11,4,3
35,1,56,0,4352,32,15,3,2
7,2,58,0,6125,17,15,6,1
5,2,58,0,2623,77,15,7,1
39,1,68,1,6772,55,15,5,1
13,1,50,1,4734,68,14,2,1
7,0,69,1,5633,83,16,7,1
75,0,53,1,2085,62,11,7,3
41,2,44,1,4335,26,18,6,3
112,1,68,1,10785,62,14,5,4
67,1,63,0,6275,72,15,4,3
58,3,53,1,7491,60,12,4,3
29,0,57,0,2923,33,14,4,2
48,0,57,1,7499,75,19,5,3
5,0,57,1,2627,32,16,3,1
5,0,61,1,6216,28,14,1,2
5,2,66,0,7675,64,8,3,1
83,0,46,1,8806,57,12,5,4
5,3,58,1,5968,67,12,1,1
68,3,68,1,5238,38,10,4,2
46,0,44,1,5704,38,11,3,4
5,0,45,0,4649,71,9,6,1
5,3,69,1,6462,85,11,1,1
13,1,63,1,6593,85,12,7,1
51,1,62,1,6141,30,16,4,3
84,0,48,1,5050,83,13,1,4
48,0,59,0,7379,71,15,4,3
67,0,43,1,9897,73,15,5,4
58,3,57,1,6068,51,17,7,3
46,1,66,1,4607,81,15,2,1
92,2,62,1,5386,71,17,7,3
22,0,54,1,6481,66,16,4,2
62,3,69,1,500,68,11,6,1
71,2,53,1,3846,19,16,1,4
5,0,63,1,11514,49,16,6,2
5,0,66,1,9129,25,17,5,2
60,2,53,1,8305,63,11,6,3
38,0,49,1,4074,23,13,7,3
25,3,52,1,500,69,17,7,1
122,0,45,1,500,84,16,7,4
21,1,65,1,9444,47,17,4,2
12,3,40,0,7398,77,13,7,2
56,1,55,0,12775,82,15,5,3
50,0,40,1,4867,58,14,3,4
68,2,58,1,14690,28,15,7,4
70,1,57,1,6524,22,15,4,4
47,0,50,1,7399,64,17,3,3
77,1,40,1,652,64,17,7,4
49,0,46,1,7732,46,13,4,4
5,1,58,1,6032,72,16,1,1
81,1,45,0,8823,61,19,4,4
65,1,69,1,6602,84,10,1,2
5,3,40,1,6874,80,16,5,1
33,0,57,0,9366,57,18,4,3
46,3,49,0,4933,66,16,5,2
5,1,60,1,7807,66,17,6,1
139,0,65,0,500,52,15,2,4
121,3,53,1,11187,41,13,1,4
86,3,63,1,11141,58,17,3,4
58,0,41,0,6201,76,14,4,4
33,0,69,0,500,75,10,2,1
45,1,53,0,8114,61,19,2,3
5,3,52,1,4413,27,10,5,1
37,2,50,1,4315,76,12,3,2
25,2,43,1,3211,80,15,2,2
48,2,46,1,9075,81,19,2,3
50,0,57,0,5441,52,13,4,3
107,2,56,1,4862,74,14,5,4
36,3,65,0,7060,64,16,5,1
41,2,61,1,500,47,13,2,1
72,1,53,1,8103,22,15,1,4
44,1,44,0,4579,74,15,7,3
9,2,63,1,5006,41,11,6,1
33,3,56,1,978,30,15,6,1
5,1,59,1,6376,69,10,1,1
5,3,61,0,4074,65,11,7,1
85,0,51,1,8338,55,10,4,4
50,2,40,1,5453,24,17,4,4
61,3,42,0,6356,37,15,5,4
5,3,56,1,9032,53,11,2,1
38,3,45,0,9476,33,15,1,4
45,2,53,0,5421,83,19,3,2
49,1,56,0,6539,82,12,7,2
79,2,62,1,4364,62,16,3,3
37,2,64,0,5448,23,15,5,2
48,2,50,0,12274,25,11,6,4
5,0,46,1,3507,54,14,2,2
5,3,46,1,2694,66,13,2,1
62,2,52,1,8400,65,13,6,3
38,3,65,1,7121,76,13,3,1
18,3,54,1,3833,85,16,6,1
58,3,40,1,12312,65,16,3,4
67,2,62,1,4872,76,16,1,2
50,0,46,0,7476,70,16,3,4
90,3,55,1,500,79,15,5,2
5,2,57,1,3799,75,14,7,1
34,0,67,0,6754,43,12,6,2
59,3,60,0,7281,34,18,3,3
12,2,51,1,6153,36,12,4,2
25,3,66,0,2925,68,6,1,1
86,3,55,0,3981,40,10,7,4
40,2,47,1,7712,37,15,6,3
42,2,63,1,7887,79,8,1,2
31,2,57,1,5648,17,16,6,2
24,3,50,0,5415,21,13,6,2
5,1,43,1,5409,22,11,5,3
43,0,60,1,7175,59,22,6,3
48,1,43,1,6354,61,17,5,4
65,1,64,1,10488,47,18,2,4
129,3,63,0,8937,28,13,5,4
44,2,69,1,3874,56,14,2,1
45,1,62,0,5055,75,18,7,2
7,3,41,1,5451,33,15,1,2
49,3,56,1,15423,59,16,6,4
109,2,58,0,5670,23,11,6,4
35,1,50,1,1990,44,13,4,2
57,2,44,0,5556,51,17,4,4
92,1,59,1,4337,56,14,5,4
31,1,65,1,5403,76,19,1,1
30,2,63,1,500,64,14,1,1
33,2,69,0,4514,78,10,4,1
32,1,69,1,6421,17,20,6,2
47,3,40,0,6146,16,15,3,4
65,2,54,1,6255,41,20,2,4
5,1,57,0,7029,71,13,7,1
27,1,65,1,2182,32,19,2,1
53,1,68,0,7684,48,15,6,2
6,0,46,0,4707,41,12,7,2
38,3,62,1,6315,81,11,1,1
33,2,62,1,4701,21,11,5,2
28,1,41,1,2927,48,19,6,3
34,3,53,0,4606,48,14,6,2
49,1,68,1,5597,40,17,1,2
65,3,58,0,7544,36,13,5,3
5,2,52,0,4112,64,13,7,1
39,1,56,0,6569,23,14,6,3
42,3,57,1,3266,65,17,5,1
5,2,40,1,4594,59,9,6,2
55,1,45,1,11540,37,11,1,4
69,1,54,1,7493,62,15,3,4
66,2,64,1,5714,73,17,1,2
5,3,66,1,2164,43,13,5,1
66,3,60,1,10299,49,13,3,3
60,2,54,0,6030,31,19,1,4
5,1,51,0,9006,69,14,1,2
32,0,54,0,7479,54,16,5,3
5,3,49,0,5139,64,10,6,1
7,0,46,1,1946,55,13,1,2
52,2,53,1,5814,54,15,6,3
45,2,63,1,10122,68,15,7,2
